x            y            z            
-3.372008e+01 -2.386909e+01 -3.000000e+00 
-3.372008e+01 -2.286909e+01 -3.000000e+00 
-3.372008e+01 -2.186909e+01 -3.000000e+00 
-3.372008e+01 -2.086909e+01 -3.000000e+00 
-3.372008e+01 -1.986909e+01 -3.000000e+00 
-3.372008e+01 -1.886909e+01 -3.000000e+00 
-3.372008e+01 -1.786909e+01 -3.000000e+00 
-3.372008e+01 -1.686909e+01 -3.000000e+00 
-3.372008e+01 -1.586909e+01 -3.000000e+00 
-3.372008e+01 -1.486909e+01 -3.000000e+00 
-3.372008e+01 -1.386909e+01 -3.000000e+00 
-3.372008e+01 -1.286909e+01 -3.000000e+00 
-3.372008e+01 -1.186909e+01 -3.000000e+00 
-3.372008e+01 -1.086909e+01 -3.000000e+00 
-3.372008e+01 -9.869090e+00 -3.000000e+00 
-3.372008e+01 -8.869090e+00 -3.000000e+00 
-3.372008e+01 -7.869090e+00 -3.000000e+00 
-3.372008e+01 -6.869090e+00 -3.000000e+00 
-3.372008e+01 -5.869090e+00 -3.000000e+00 
-3.372008e+01 -4.869090e+00 -3.000000e+00 
-3.372008e+01 -3.869090e+00 -3.000000e+00 
-3.372008e+01 -2.869090e+00 -3.000000e+00 
-3.372008e+01 -1.869090e+00 -3.000000e+00 
-3.372008e+01 -8.690896e-01 -3.000000e+00 
-3.372008e+01 1.309104e-01 -3.000000e+00 
-3.372008e+01 1.130910e+00 -3.000000e+00 
-3.372008e+01 2.130910e+00 -3.000000e+00 
-3.372008e+01 3.130910e+00 -3.000000e+00 
-3.372008e+01 4.130910e+00 -3.000000e+00 
-3.372008e+01 5.130910e+00 -3.000000e+00 
-3.372008e+01 6.130910e+00 -3.000000e+00 
-3.372008e+01 7.130910e+00 -3.000000e+00 
-3.372008e+01 8.130910e+00 -3.000000e+00 
-3.372008e+01 9.130910e+00 -3.000000e+00 
-3.372008e+01 1.013091e+01 -3.000000e+00 
-3.372008e+01 1.113091e+01 -3.000000e+00 
-3.372008e+01 1.213091e+01 -3.000000e+00 
-3.372008e+01 1.313091e+01 -3.000000e+00 
-3.372008e+01 1.413091e+01 -3.000000e+00 
-3.372008e+01 1.513091e+01 -3.000000e+00 
-3.372008e+01 1.613091e+01 -3.000000e+00 
-3.372008e+01 1.713091e+01 -3.000000e+00 
-3.372008e+01 1.813091e+01 -3.000000e+00 
-3.372008e+01 1.913091e+01 -3.000000e+00 
-3.372008e+01 2.013091e+01 -3.000000e+00 
-3.372008e+01 2.113091e+01 -3.000000e+00 
-3.372008e+01 2.213091e+01 -3.000000e+00 
-3.272008e+01 -2.386909e+01 -3.000000e+00 
-3.272008e+01 -2.286909e+01 -3.000000e+00 
-3.272008e+01 -2.186909e+01 -3.000000e+00 
-3.272008e+01 -2.086909e+01 -3.000000e+00 
-3.272008e+01 -1.986909e+01 -3.000000e+00 
-3.272008e+01 -1.886909e+01 -3.000000e+00 
-3.272008e+01 -1.786909e+01 -3.000000e+00 
-3.272008e+01 -1.686909e+01 -3.000000e+00 
-3.272008e+01 -1.586909e+01 -3.000000e+00 
-3.272008e+01 -1.486909e+01 -3.000000e+00 
-3.272008e+01 -1.386909e+01 -3.000000e+00 
-3.272008e+01 -1.286909e+01 -3.000000e+00 
-3.272008e+01 -1.186909e+01 -3.000000e+00 
-3.272008e+01 -1.086909e+01 -3.000000e+00 
-3.272008e+01 -9.869090e+00 -2.066973e+00 
-3.272008e+01 -8.869090e+00 -1.590571e+00 
-3.272008e+01 -7.869090e+00 -3.000000e+00 
-3.272008e+01 -6.869090e+00 -3.000000e+00 
-3.272008e+01 -5.869090e+00 -1.800783e+00 
-3.272008e+01 -4.869090e+00 -2.153416e+00 
-3.272008e+01 -3.869090e+00 -2.595325e+00 
-3.272008e+01 -2.869090e+00 -2.089249e+00 
-3.272008e+01 -1.869090e+00 -2.040129e+00 
-3.272008e+01 -8.690896e-01 -2.184882e+00 
-3.272008e+01 1.309104e-01 -1.977163e+00 
-3.272008e+01 1.130910e+00 -1.963269e+00 
-3.272008e+01 2.130910e+00 -1.807924e+00 
-3.272008e+01 3.130910e+00 -2.341639e+00 
-3.272008e+01 4.130910e+00 -1.996348e+00 
-3.272008e+01 5.130910e+00 -1.729950e+00 
-3.272008e+01 6.130910e+00 -1.623349e+00 
-3.272008e+01 7.130910e+00 -1.956827e+00 
-3.272008e+01 8.130910e+00 -3.000000e+00 
-3.272008e+01 9.130910e+00 4.079828e-01 
-3.272008e+01 1.013091e+01 -3.000000e+00 
-3.272008e+01 1.113091e+01 -3.000000e+00 
-3.272008e+01 1.213091e+01 -3.000000e+00 
-3.272008e+01 1.313091e+01 -3.000000e+00 
-3.272008e+01 1.413091e+01 -1.031474e+00 
-3.272008e+01 1.513091e+01 -1.009930e+00 
-3.272008e+01 1.613091e+01 -3.000000e+00 
-3.272008e+01 1.713091e+01 -3.000000e+00 
-3.272008e+01 1.813091e+01 -3.000000e+00 
-3.272008e+01 1.913091e+01 -3.000000e+00 
-3.272008e+01 2.013091e+01 -3.000000e+00 
-3.272008e+01 2.113091e+01 -3.000000e+00 
-3.272008e+01 2.213091e+01 -3.000000e+00 
-3.172008e+01 -2.386909e+01 -3.000000e+00 
-3.172008e+01 -2.286909e+01 -3.000000e+00 
-3.172008e+01 -2.186909e+01 -3.000000e+00 
-3.172008e+01 -2.086909e+01 -3.000000e+00 
-3.172008e+01 -1.986909e+01 -3.000000e+00 
-3.172008e+01 -1.886909e+01 -3.000000e+00 
-3.172008e+01 -1.786909e+01 -3.000000e+00 
-3.172008e+01 -1.686909e+01 -3.000000e+00 
-3.172008e+01 -1.586909e+01 -3.000000e+00 
-3.172008e+01 -1.486909e+01 -3.000000e+00 
-3.172008e+01 -1.386909e+01 -3.000000e+00 
-3.172008e+01 -1.286909e+01 -1.071776e+00 
-3.172008e+01 -1.186909e+01 -1.486665e+00 
-3.172008e+01 -1.086909e+01 -1.632165e+00 
-3.172008e+01 -9.869090e+00 -1.635442e+00 
-3.172008e+01 -8.869090e+00 -1.583936e+00 
